id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-85091698994,INCLUDE,ok,2,2,2,0,0
2-s2.0-85092013677,INCLUDE,ok,1,4,1,0,1
2-s2.0-85092033301,INCLUDE,ok,5,5,5,0,0
2-s2.0-85092483799,INCLUDE,ok,1,2,1,0,1
2-s2.0-85093940530,INCLUDE,ok,1,1,1,0,0
2-s2.0-85095575703,INCLUDE,ok,1,1,1,0,0
2-s2.0-85095594211,INCLUDE,ok,2,3,2,0,1
2-s2.0-85096102360,INCLUDE,ok,1,2,1,0,1
2-s2.0-85096714006,INCLUDE,ok,7,7,7,0,0
2-s2.0-85096862559,INCLUDE,ok,0,2,0,0,0
2-s2.0-85097561204,INCLUDE,ok,1,1,1,0,0
2-s2.0-85097940672,INCLUDE,ok,1,2,1,0,0
2-s2.0-85098082326,INCLUDE,ok,1,1,1,0,0
2-s2.0-85099149423,INCLUDE,ok,1,2,1,0,1
2-s2.0-85099634781,INCLUDE,ok,1,1,1,0,0
2-s2.0-85099807131,INCLUDE,ok,1,1,1,0,0
2-s2.0-85100218180,INCLUDE,ok,1,4,1,0,2
2-s2.0-85100334459,INCLUDE,ok,2,2,2,0,0
2-s2.0-85100445322,INCLUDE,ok,1,2,1,0,0
2-s2.0-85100947948,INCLUDE,ok,1,0,0,1,0
2-s2.0-85101834091,INCLUDE,ok,1,1,1,0,0
2-s2.0-85101873459,INCLUDE,ok,2,2,2,0,0
2-s2.0-85102849802,INCLUDE,ok,1,2,1,0,1
2-s2.0-85102898157,INCLUDE,ok,2,2,2,0,0
2-s2.0-85103851008,INCLUDE,ok,1,1,1,0,0
2-s2.0-85104228138,INCLUDE,ok,2,2,2,0,0
2-s2.0-85104571399,INCLUDE,ok,1,2,1,0,0
2-s2.0-85105454127,INCLUDE,ok,3,4,3,0,0
2-s2.0-85105511315,INCLUDE,ok,2,6,2,0,1
2-s2.0-85106448562,INCLUDE,ok,2,2,2,0,0
2-s2.0-85106913853,INCLUDE,ok,1,1,1,0,0
2-s2.0-85107205917,INCLUDE,ok,1,1,1,0,0
2-s2.0-85107390682,INCLUDE,ok,1,2,1,0,1
2-s2.0-85107396751,INCLUDE,ok,1,3,1,0,0
2-s2.0-85108101418,INCLUDE,ok,1,2,1,0,0
2-s2.0-85108273495,INCLUDE,ok,1,2,1,0,0
2-s2.0-85108453146,INCLUDE,ok,4,4,4,0,0
2-s2.0-85108512332,INCLUDE,ok,1,1,1,0,0
2-s2.0-85108996494,INCLUDE,ok,2,2,2,0,0
2-s2.0-85109464429,INCLUDE,ok,1,2,1,0,1
2-s2.0-85111017779,INCLUDE,ok,1,1,1,0,0
2-s2.0-85111545521,INCLUDE,ok,1,0,0,1,0
2-s2.0-85112249462,INCLUDE,ok,2,2,2,0,0
2-s2.0-85112780522,INCLUDE,ok,5,5,5,0,0
2-s2.0-85114012653,INCLUDE,ok,2,2,2,0,0
2-s2.0-85114336487,INCLUDE,ok,2,1,1,1,0
2-s2.0-85115631663,INCLUDE,ok,1,2,1,0,0
2-s2.0-85115858008,EXCLUDE,ok,1,0,0,1,0
