study_id,text_kind,text_bytes,n_estimates,path
2-s2.0-85129456715,full_text,41228,1,data/fulltext/v2txt/2-s2.0-85129456715.txt
2-s2.0-85129632573,full_text,47763,2,data/fulltext/v2txt/2-s2.0-85129632573.txt
2-s2.0-85129781787,full_text,65400,1,data/fulltext/v2txt/2-s2.0-85129781787.txt
2-s2.0-85131073869,full_text,64193,1,data/fulltext/v2txt/2-s2.0-85131073869.txt
2-s2.0-85131270595,full_text,60628,2,data/fulltext/v2txt/2-s2.0-85131270595.txt
2-s2.0-85131964464,full_text,57996,1,data/fulltext/v2txt/2-s2.0-85131964464.txt
2-s2.0-85134325788,none,0,1,
2-s2.0-85134426953,full_text,25455,2,data/fulltext/v2txt/2-s2.0-85134426953.txt
2-s2.0-85134489939,full_text,50610,1,data/fulltext/v2txt/2-s2.0-85134489939.txt
2-s2.0-85135254144,full_text,95876,1,data/fulltext/v2txt/2-s2.0-85135254144.txt
2-s2.0-85136023139,full_text,115687,1,data/fulltext/v2txt/2-s2.0-85136023139.txt
2-s2.0-85136139565,full_text,32589,1,data/fulltext/v2txt/2-s2.0-85136139565.txt
2-s2.0-85137779722,full_text,80312,1,data/fulltext/v2txt/2-s2.0-85137779722.txt
2-s2.0-85138494787,full_text,82904,2,data/fulltext/v2txt/2-s2.0-85138494787.txt
2-s2.0-85138526885,full_text,80914,1,data/fulltext/v2txt/2-s2.0-85138526885.txt
2-s2.0-85139497631,full_text,24960,1,data/fulltext/v2txt/2-s2.0-85139497631.txt
2-s2.0-85140592237,full_text,49162,1,data/fulltext/v2txt/2-s2.0-85140592237.txt
2-s2.0-85141666446,full_text,62688,1,data/fulltext/v2txt/2-s2.0-85141666446.txt
2-s2.0-85142238598,full_text,42085,1,data/fulltext/v2txt/2-s2.0-85142238598.txt
2-s2.0-85142396682,full_text,27508,6,data/fulltext/v2txt/2-s2.0-85142396682.txt
2-s2.0-85142886759,full_text,70569,1,data/fulltext/v2txt/2-s2.0-85142886759.txt
2-s2.0-85143274147,full_text,39101,2,data/fulltext/v2txt/2-s2.0-85143274147.txt
2-s2.0-85143511628,none,0,1,
2-s2.0-85145390598,full_text,114265,2,data/fulltext/v2txt/2-s2.0-85145390598.txt
2-s2.0-85145404443,full_text,56455,1,data/fulltext/v2txt/2-s2.0-85145404443.txt
2-s2.0-85145425628,full_text,91371,2,data/fulltext/v2txt/2-s2.0-85145425628.txt
2-s2.0-85145881152,full_text,48717,1,data/fulltext/v2txt/2-s2.0-85145881152.txt
2-s2.0-85145956359,full_text,102171,3,data/fulltext/v2txt/2-s2.0-85145956359.txt
2-s2.0-85146384927,full_text,64103,1,data/fulltext/v2txt/2-s2.0-85146384927.txt
2-s2.0-85147303661,full_text,38135,1,data/fulltext/v2txt/2-s2.0-85147303661.txt
2-s2.0-85148963619,full_text,79117,4,data/fulltext/v2txt/2-s2.0-85148963619.txt
2-s2.0-85152674280,full_text,78660,4,data/fulltext/v2txt/2-s2.0-85152674280.txt
2-s2.0-85153931706,full_text,119316,1,data/fulltext/v2txt/2-s2.0-85153931706.txt
2-s2.0-85159153364,full_text,56376,6,data/fulltext/v2txt/2-s2.0-85159153364.txt
2-s2.0-85159486270,full_text,28652,1,data/fulltext/v2txt/2-s2.0-85159486270.txt
2-s2.0-85159598935,full_text,56884,2,data/fulltext/v2txt/2-s2.0-85159598935.txt
2-s2.0-85159871316,full_text,41618,1,data/fulltext/v2txt/2-s2.0-85159871316.txt
2-s2.0-85159889148,full_text,50939,2,data/fulltext/v2txt/2-s2.0-85159889148.txt
2-s2.0-85160248068,full_text,96292,6,data/fulltext/v2txt/2-s2.0-85160248068.txt
2-s2.0-85162702221,full_text,52674,6,data/fulltext/v2txt/2-s2.0-85162702221.txt
2-s2.0-85163154882,full_text,34041,2,data/fulltext/v2txt/2-s2.0-85163154882.txt
2-s2.0-85163186108,full_text,40090,1,data/fulltext/txt/2-s2.0-85163186108.txt
2-s2.0-85164339474,full_text,57453,6,data/fulltext/v2txt/2-s2.0-85164339474.txt
2-s2.0-85164694763,full_text,72191,2,data/fulltext/v2txt/2-s2.0-85164694763.txt
2-s2.0-85165815218,full_text,46632,2,data/fulltext/v2txt/2-s2.0-85165815218.txt
2-s2.0-85167574647,full_text,25127,1,data/fulltext/v2txt/2-s2.0-85167574647.txt
