key,kind,id,RULING,RULING_reason
MOD|2-s2.0-105029413645|37|ground_truth,MODERATOR,2-s2.0-105029413645,,
MOD|2-s2.0-105029413645|77|ground_truth,MODERATOR,2-s2.0-105029413645,,
MOD|2-s2.0-85074596916|17.4|ground_truth,MODERATOR,2-s2.0-85074596916,,
MOD|2-s2.0-85074596916|18.1|ground_truth,MODERATOR,2-s2.0-85074596916,,
MOD|2-s2.0-85059494932|10.0|denom_scope,MODERATOR,2-s2.0-85059494932,,
MOD|2-s2.0-85188806397|26.06|denom_scope,MODERATOR,2-s2.0-85188806397,,
MOD|2-s2.0-85188806397|22.25|denom_scope,MODERATOR,2-s2.0-85188806397,,
MOD|2-s2.0-85217829893|23|denom_scope,MODERATOR,2-s2.0-85217829893,,
MOD|2-s2.0-85089119559|17.5|sampling_frame,MODERATOR,2-s2.0-85089119559,,
MOD|2-s2.0-85089119559|0|sampling_frame,MODERATOR,2-s2.0-85089119559,,
MOD|2-s2.0-85089119559|5.6|sampling_frame,MODERATOR,2-s2.0-85089119559,,
MOD|2-s2.0-85089119559|26.2|sampling_frame,MODERATOR,2-s2.0-85089119559,,
MOD|2-s2.0-85136023139|7.6|ground_truth,MODERATOR,2-s2.0-85136023139,,
MOD|2-s2.0-85169998829|57|ground_truth,MODERATOR,2-s2.0-85169998829,,
MOD|2-s2.0-85169998829|55|ground_truth,MODERATOR,2-s2.0-85169998829,,
MOD|2-s2.0-85179481261|3.3|ground_truth,MODERATOR,2-s2.0-85179481261,,
MOD|2-s2.0-85188303314|54.7|sampling_frame,MODERATOR,2-s2.0-85188303314,,
MOD|2-s2.0-85188303314|32.0|sampling_frame,MODERATOR,2-s2.0-85188303314,,
MOD|2-s2.0-85199110625|7.37|sampling_frame,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-85199110625|7.71|sampling_frame,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-105002620495|11.1|sampling_frame,MODERATOR,2-s2.0-105002620495,,
MOD|2-s2.0-85054363956|16.2|sampling_frame,MODERATOR,2-s2.0-85054363956,,
MOD|2-s2.0-85054363956|6.3|sampling_frame,MODERATOR,2-s2.0-85054363956,,
MOD|2-s2.0-85160248068|2.05|denom_scope,MODERATOR,2-s2.0-85160248068,,
MOD|2-s2.0-85160248068|3.03|denom_scope,MODERATOR,2-s2.0-85160248068,,
MOD|2-s2.0-85160248068|1.86|denom_scope,MODERATOR,2-s2.0-85160248068,,
MOD|2-s2.0-85172813494|29|ground_truth,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85172813494|60|ground_truth,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85172813494|73|ground_truth,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85179481261|3.3|denom_scope,MODERATOR,2-s2.0-85179481261,,
MOD|2-s2.0-85199110625|7.37|denom_scope,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-85199110625|7.71|denom_scope,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-105005857219|80.2|classification_level,MODERATOR,2-s2.0-105005857219,,
MOD|2-s2.0-85214504236|85|classification_level,MODERATOR,2-s2.0-85214504236,,
MOD|2-s2.0-105005857219|80.2|sampling_frame,MODERATOR,2-s2.0-105005857219,,
MOD|2-s2.0-85108273495|41|sampling_frame,MODERATOR,2-s2.0-85108273495,,
MOD|2-s2.0-105014886450|21.4|sampling_frame,MODERATOR,2-s2.0-105014886450,,
MOD|2-s2.0-85124823821|93.10|sampling_frame,MODERATOR,2-s2.0-85124823821,,
MOD|2-s2.0-85105511315|32|denom_scope,MODERATOR,2-s2.0-85105511315,,
MOD|2-s2.0-85105511315|21|denom_scope,MODERATOR,2-s2.0-85105511315,,
MOD|2-s2.0-85163154882|20.0|sampling_frame,MODERATOR,2-s2.0-85163154882,,
MOD|W4385567160|8.24|sampling_frame,MODERATOR,W4385567160,,
MOD|2-s2.0-85169998829|57|classification_level,MODERATOR,2-s2.0-85169998829,,
MOD|2-s2.0-85169998829|55|classification_level,MODERATOR,2-s2.0-85169998829,,
MOD|2-s2.0-85199110625|7.37|ground_truth,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-85199110625|7.71|ground_truth,MODERATOR,2-s2.0-85199110625,,
MOD|2-s2.0-105010728491|65|sampling_frame,MODERATOR,2-s2.0-105010728491,,
MOD|2-s2.0-105027959122|7.4|sampling_frame,MODERATOR,2-s2.0-105027959122,,
MOD|2-s2.0-105029521599|0.68|denom_scope,MODERATOR,2-s2.0-105029521599,,
MOD|2-s2.0-85047794238|58|sampling_frame,MODERATOR,2-s2.0-85047794238,,
MOD|2-s2.0-85060025053|8.5|sampling_frame,MODERATOR,2-s2.0-85060025053,,
MOD|2-s2.0-85134426953|32.5|ground_truth,MODERATOR,2-s2.0-85134426953,,
MOD|2-s2.0-85145425628|0.47|sampling_frame,MODERATOR,2-s2.0-85145425628,,
MOD|2-s2.0-85168520853|26.1|sampling_frame,MODERATOR,2-s2.0-85168520853,,
MOD|2-s2.0-85175105353|3.2|denom_scope,MODERATOR,2-s2.0-85175105353,,
MOD|2-s2.0-85212060458|66.5|sampling_frame,MODERATOR,2-s2.0-85212060458,,
MOD|NEW-jadara-2022|81.6|classification_level,MODERATOR,NEW-jadara-2022,,
MOD|NEW-jadara-2022|81.6|sampling_frame,MODERATOR,NEW-jadara-2022,,
MOD|2-s2.0-85124307830|60.7|topic,MODERATOR,2-s2.0-85124307830,,
MOD|2-s2.0-85124307830|55.7|topic,MODERATOR,2-s2.0-85124307830,,
MOD|2-s2.0-85127039075|10.7|topic,MODERATOR,2-s2.0-85127039075,,
MOD|2-s2.0-85127039075|11.0|topic,MODERATOR,2-s2.0-85127039075,,
MOD|2-s2.0-85142886759|2.7|topic,MODERATOR,2-s2.0-85142886759,,
MOD|2-s2.0-85182846541|0.72|topic,MODERATOR,2-s2.0-85182846541,,
MOD|2-s2.0-85197949220|29.9|topic,MODERATOR,2-s2.0-85197949220,,
MOD|OA-W4360608277|6.9|topic,MODERATOR,OA-W4360608277,,
MOD|W3189543626|1.7|topic,MODERATOR,W3189543626,,
MOD|W4393231882|27.3|topic,MODERATOR,W4393231882,,
MOD|2-s2.0-85092033301|38.0|topic,MODERATOR,2-s2.0-85092033301,,
MOD|2-s2.0-85092033301|10.0|topic,MODERATOR,2-s2.0-85092033301,,
MOD|2-s2.0-85092033301|6.4|topic,MODERATOR,2-s2.0-85092033301,,
MOD|2-s2.0-85092033301|5.0|topic,MODERATOR,2-s2.0-85092033301,,
MOD|2-s2.0-85092033301|4.5|topic,MODERATOR,2-s2.0-85092033301,,
MOD|2-s2.0-85105511315|32|topic,MODERATOR,2-s2.0-85105511315,,
MOD|2-s2.0-85105511315|21|topic,MODERATOR,2-s2.0-85105511315,,
MOD|2-s2.0-85172813494|29|topic,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85037352356|0.34|topic,MODERATOR,2-s2.0-85037352356,,
MOD|2-s2.0-85195353413|24.13|topic,MODERATOR,2-s2.0-85195353413,,
MOD|2-s2.0-85195353413|7.46|topic,MODERATOR,2-s2.0-85195353413,,
MOD|2-s2.0-85083060520|36|topic,MODERATOR,2-s2.0-85083060520,,
MOD|2-s2.0-85083060520|29|topic,MODERATOR,2-s2.0-85083060520,,
MOD|2-s2.0-85083060520|19|topic,MODERATOR,2-s2.0-85083060520,,
MOD|2-s2.0-85145956359|70|topic,MODERATOR,2-s2.0-85145956359,,
MOD|2-s2.0-85145956359|70|topic,MODERATOR,2-s2.0-85145956359,,
MOD|2-s2.0-85145956359|98|topic,MODERATOR,2-s2.0-85145956359,,
MOD|2-s2.0-85172813494|73|topic,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85175105353|3.2|topic,MODERATOR,2-s2.0-85175105353,,
MOD|2-s2.0-85172813494|60|topic,MODERATOR,2-s2.0-85172813494,,
MOD|2-s2.0-85179481261|3.3|topic,MODERATOR,2-s2.0-85179481261,,
MOD|2-s2.0-85187117251|1.69|topic,MODERATOR,2-s2.0-85187117251,,
MOD|2-s2.0-85193588807|10.0|topic,MODERATOR,2-s2.0-85193588807,,
