source,oaid,doi,year,title,ruling,construct_guess
first_pass_INCLUDE,W4390840699,10.1002/asi.24869,2024,What's in your PIE ? Understanding the contents of personalized information environments with PIEGraph,INCLUDE,
first_pass_INCLUDE,W7161962711,10.64388/irev9i11-1717826,2026,When Social Media Becomes a Problem: An Analysis of Communication Failures in Contemporary Nigerian Political Campaigns,INCLUDE,
first_pass_INCLUDE,W3042611456,10.17645/pag.v8i3.2925,2020,Who Uses Right-Wing Alternative Online Media? An Exploration of Audience Characteristics,INCLUDE,
first_pass_INCLUDE,W4327600222,10.36106/ijsr/7507352,2023,“MONKEY POX DISEASE: AN INSTAGRAM ANALYSIS IN DISSEMINATING ACCURATE INFORMATION”,INCLUDE,
first_pass_INCLUDE,W4405686951,10.22720/hnmr.2024.00129,2024,"“No claims, no trials, no compensation. Just roll up your sleeve”: social media communication on vaccine uptake sentiments in Canada",INCLUDE,
first_pass_INCLUDE,W4367162917,10.22720/hnmr.2022.6.1.003,2022,“The mask is not for you” : A framing analysis of pro- and anti-mask sentiment on Twitter,INCLUDE,
adjudication,W2320668124,10.1890/0012-9623-91.4.438,2010,Snake Invasion: Evaluation of an Online News Frenzy,UNSURE,CONTENT
adjudication,W2344262716,,2016,Social Media and Unfounded Health Beliefs: An Assessment of Participants' Response to Health Posts on Epidemics,UNSURE,RECALL
adjudication,W2804236375,10.6082/m17p8wgz,2017,Demand for Online News under Government Control,UNSURE,EXPOSURE
adjudication,W2903903405,,2018,The tactics & tropes of the Internet Research Agency,UNSURE,REACH
adjudication,W2965916618,10.2196/15298,2019,Social Media Outrage in Response to a School-Based Substance Use Survey: Qualitative Analysis,UNSURE,CONTENT
adjudication,W3048980451,10.6007/ijarbss/v10-i3/7053,2020,Media Literacy Dimension in Reinforcing Political Participation Integrity Among Young People in Social Media,UNSURE,RECALL
adjudication,W3089036524,10.1093/pa/gsaa029,2020,A Transparent Digital Election Campaign? The Insights and Significance of Political Advertising Archives for Debates on Electoral Regulation,UNSURE,CONTENT
adjudication,W3091946553,10.1371/journal.pone.0239826,2020,Comparing covariation among vaccine hesitancy and broader beliefs within Twitter and survey data,UNSURE,CONTENT
adjudication,W3099932286,10.3389/feduc.2020.565062,2020,"How Do University Students’ Web Search Behavior, Website Characteristics, and the Interaction of Both Influence Students’ Critical Online Reasoning?",UNSURE,EXPOSURE
adjudication,W3108812612,10.1108/oir-04-2020-0130,2020,Encountering misinformation online: antecedents of trust and distrust and their impact on the intensity of Facebook use,UNSURE,RECALL
adjudication,W3130132527,,2021,Law Student's response to the COVID 19 Infodemic on Social Media: An Empirical Study,UNSURE,RECALL
adjudication,W3140278754,,2021,Public Perception of Social Media Reports on Covid-19 in Port Harcourt Rivers State,UNSURE,RECALL
adjudication,W3143407426,10.35631/ijcrei.36002,2021,THE IMPACT OF MEDIA INFODEMICS ON COVID-19 OUTBREAK IN INTENSIFYING GLOBAL PANIC AMONG MALAYSIANS: A PERCEPTION-BASED ANALYSIS,UNSURE,RECALL
adjudication,W3178060509,10.1080/19331681.2021.1945987,2021,Public responses to COVID-19 information from the public health office on Twitter and YouTube: implications for research practice,UNSURE,CONTENT
adjudication,W3188384768,10.2196/29929,2021,The Impact of COVID-19 on Conspiracy Hypotheses and Risk Perception in Italy: Infodemiological Survey Study Using Google Trends,UNSURE,EXPOSURE
adjudication,W3204712709,10.18374/jabe-21-3.2,2021,A CRISIS OF KNOWLEDGE MISMANAGEMENT: THE EFFECT OF FAKE NEWS ON CONSUMER DISTRUST ALONG COVID-19 ERA,UNSURE,RECALL
adjudication,W4205325104,10.4103/jiaphd.jiaphd_56_21,2021,"The Impact of Panic Spread in Social Media Over COVID-19 on Dental Students of Nellore, India – A Cross-Sectional Study",UNSURE,RECALL
adjudication,W4281755992,10.3390/ijerph19116751,2022,How Official Social Media Affected the Infodemic among Adults during the First Wave of COVID-19 in China,UNSURE,RECALL
adjudication,W4282838978,10.1093/cdn/nzac054.046,2022,#mediterraneandiet: A Content Analysis of Mediterranean Diet – Related Information on TikTok,UNSURE,CONTENT
adjudication,W4296175712,10.28918/iqtida.v2i01.5124,2022,Penyebaran Berita Hoaks Seputar Fatwa Haram Vaksinasi Covid-19,UNSURE,CONTENT
adjudication,W4312590649,10.47989/irisic2220,2022,"‘Confused, scared, hopeless, unsure.’ Teens looking for information about COVID-19",UNSURE,RECALL
adjudication,W4313324568,10.53791/imgelem.1187245,2022,GENERATION Z: MEDIA CONSUMPTION AND MIL,UNSURE,RECALL
adjudication,W4360607897,10.1097/ju.0000000000003225.14,2023,MP10-14 TIKTOK AS AN EDUCATION TOOL FOR KIDNEY STONE PREVENTION,UNSURE,CONTENT
adjudication,W4383070440,10.12785/ijcds/140112,2023,"Topic Modelling, Classification and Characterization of Critical Information",UNSURE,CONTENT
adjudication,W4385325063,10.1038/s41586-023-06297-w,2023,Like-minded sources on Facebook are prevalent but not polarizing,UNSURE,EXPOSURE
adjudication,W4386711659,10.19165/psys7271,2023,"The Not-So-Silent ""Majority'': An Automated Content Analysis of Anti-Government Online Communities",UNSURE,CONTENT
adjudication,W4391623400,10.2196/54000,2024,Using Social Listening for Digital Public Health Surveillance of Human Papillomavirus Vaccine Misinformation Online: Exploratory Study,UNSURE,CONTENT
adjudication,W4394061173,10.59102/kufil/2024/iss1pp214-228,2024,NAVIGATING MEDIA LITERACY CHALLENGES IN HIGHER EDUCATION EFL COURSES: INSIGHTS FROM STUDENT BEHAVIORS AND PEDAGOGICAL STRATEGIES,ELIGIBLE,RECALL
adjudication,W4400112596,10.1093/pnasnexus/pgae257,2024,Followers do not dictate the virality of news outlets on social media,UNSURE,EXPOSURE
adjudication,W4400383613,10.21608/mcr.2023.363542,2023,The impact of Freedom and Economic Development on the work of Social Media Platforms Across Nations “A Secondary Analysis in the Light of Normative Theories’ Principals”,UNSURE,RECALL
adjudication,W4405872607,10.30574/wjarr.2024.24.3.3935,2024,Exploring social media strategies use during the presidential campaign of the 2023 general elections in Nigeria,UNSURE,RECALL
adjudication,W4406382191,10.47772/ijriss.2024.8120234,2025,"The Invisible Majority: Rural Women, Digital Campaigns, and Political Violence",UNSURE,RECALL
adjudication,W4407177512,10.61784/jtah3037,2025,ANALYZING THE IMPACT OF FALSE INFORMATION ON SOCIAL MEDIA: IMPLICATIONS FOR SOCIETY,UNSURE,CONTENT
adjudication,W4407598524,10.62754/joe.v3i8.6414,2024,Assess Nurses' Social Media Conduct's Effect on Patient Trust,UNSURE,RECALL
adjudication,W4407875472,10.71064/spu.amjr.9.2.315,2025,The Spread of Information Disorder on Facebook and its Impact on Sociocultural Sustainability,ELIGIBLE,RECALL
adjudication,W4409319996,10.2196/65217,2025,The Quality of Dermatology Match Information on Social Media Platforms: Cross-Sectional Analysis,ELIGIBLE,CONTENT
adjudication,W4410128941,10.63682/jns.v14i13s.3236,2025,Healthcare Interventions to Mitigate the Effects of Social Media on Neonatal Health: Combating Misinformation and Enhancing Parental Support,UNSURE,RECALL
adjudication,W4410518719,10.1111/jocd.70252,2025,Assessing the Quality and Safety of Do‐It‐Yourself Cosmetic Neuromodulator Injection Tutorials on YouTube,UNSURE,
adjudication,W4411615967,10.15605/jafes.038.s2.34,2023,CAN ARTIFICIAL INTELLIGENCE (CHATGPT) REPLACE HEALTHCARE PROVIDERS' WORKLOAD IN MANAGING TYPE 2 DIABETES?,UNSURE,CONTENT
adjudication,W4414192883,10.51903/k4h62185,2025,"Digital Natives, Critical Strangers: The Challenge of Student Critical Literacy in Indonesia's Post-Truth Era",ELIGIBLE,RECALL
adjudication,W4414351820,10.31039/bjir.v2i8.65,2025,The use of social media in the creation political awareness of youth in Delta State,ELIGIBLE,RECALL
adjudication,W4415543465,10.22178/pos.122-55,2025,Digital Literacy and Information Disorder: Understanding Older Adults' Interaction With False Information on Social Media,UNSURE,RECALL
adjudication,W4416739609,10.4103/mjdrdypu.mjdrdypu_784_24,2025,Quality of Online News Media Reports of Sexual Violence in India,UNSURE,CONTENT
